search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
traditional matcha,/shorts/7A5ulivlTW4,/@Matchacom,Matcha,usucha and koicha | 2 different ways to prepare matcha,79K,1 year,"Usucha vs Koicha | On Tea Day, we're sharing two different ways you can prepare a traditional cup of matcha— usucha and ...",2026-01-15 23:22:04.673776
traditional matcha,/watch?v=13uVij4DsZk&pp=ygUSdHJhZGl0aW9uYWwgbWF0Y2hh,/@DensTeaInc,Den's Tea,How to Make the Perfect Cup of Matcha Tea | Den's Tea,139K,10 years,"To make the perfect cup of matcha tea, you need to have the right tea brewing supplies. Gather your matcha bowl, matcha powder ...",2026-01-15 23:22:04.675577
traditional matcha,/watch?v=KlFXl--H8eM&t=442s&pp=ygUSdHJhZGl0aW9uYWwgbWF0Y2hh,/@BusinessInsider,Business Insider,Why Ceremonial-Grade Matcha Is So Expensive | So Expensive | Business Insider,5.5M,3 years,"The greener matcha is, the smoother and more complex its flavor. But not all matcha is the same. Matcha at its highest quality is ...",2026-01-15 23:22:04.679662
traditional matcha,/watch?v=fmukjUoevf4&pp=ygUSdHJhZGl0aW9uYWwgbWF0Y2hh,/@TealeavesCo,TEALEAVES,Japanese Chado Matcha Green Tea Ceremony #TeaStories | TEALEAVES,861K,10 years,"It is our privilege to film this beautiful Chado ceremony, which has been an important inspiration for TEALEAVES since our ...",2026-01-15 23:22:04.682430
traditional matcha,/watch?v=cZfLJyA71DU&pp=ygUSdHJhZGl0aW9uYWwgbWF0Y2hh0gcJCU0KAYcqIYzv,/@AgricultureInsightusa,Agriculture Insight,Inside the World’s Most Expensive Matcha Powder Processing – How Japanese Matcha Is Made,84K,4 weeks,Inside the World's Most Expensive Matcha Powder Processing – How Japanese Matcha Is Made Join us as we explore the ...,2026-01-15 23:22:04.687688
traditional matcha,/watch?v=2doEhQaynLs&pp=ygUSdHJhZGl0aW9uYWwgbWF0Y2hh,/@TeaOfJapan,TeaOfJapan,How to make Matcha (Traditional Japanese Green Tea),321K,12 years,"How to make a cup/bowl of Matcha. Recipe: 3 to 4 grams of Matcha if you are making ""Usucha (or Ousu)"" 5 to 6 grams of Matcha if ...",2026-01-15 23:22:04.689659
traditional matcha,/watch?v=rfXsEwf2_UY&t=24s&pp=ygUSdHJhZGl0aW9uYWwgbWF0Y2hh,/@Nekohama,Nekohama,Everything You Need To Know About Matcha,23K,1 year,"Learn About Everything You Need To Know About Japanese Matcha + Tour A Farm & A Production Facility Hi Friends, This is a ...",2026-01-15 23:22:04.691572
traditional matcha,/watch?v=yQ5TfiTYpaI&pp=ygUSdHJhZGl0aW9uYWwgbWF0Y2hh0gcJCU0KAYcqIYzv,/@MakeSushi1,Make Sushi 1,How to Make Traditional Matcha + Easy Way to Make Matcha Green Tea,1.6M,7 years,How to prepare matcha green tea the traditional way and easy way. What is Matcha? it's a finely ground young tea leave that is ...,2026-01-15 23:22:04.695724
traditional matcha,/shorts/Cb-7gFor8p4,/@cuppabeans,Angus Wan,How to use a new matcha whisk,54M,2 years,It's time to use my new matcha whisk! Make sure you remember to soak the whisk in hot water to soften and expand the bristles ...,2026-01-15 23:22:04.698114
traditional matcha,/watch?v=vGMKmbAFpP0&t=442s&pp=ygUSdHJhZGl0aW9uYWwgbWF0Y2hh,/@businessinsiderindia9294,Business Insider India,Why Ceremonial-Grade Matcha Is So Expensive | So Expensive Food,5K,3 years,"Matcha The greener matcha is, the smoother and more complex its flavor. But not all matcha is the same. Matcha at its highest ...",2026-01-15 23:22:04.700339
traditional matcha,/shorts/-Za44q1tSbM,/@MichelleKanemitsu,Michelle Kanemitsu,how to create the smoothest matcha microfoam in 1 minute 🍵💚,511K,6 months,how to create the smoothest matcha microfoam ✨   happy matcha mondays ep. 31! matcha i'm using: ...,2026-01-15 23:22:04.703305
traditional matcha,/shorts/zBU0v9F-zD4,/@cuppabeans,Angus Wan,Grinding my own matcha in Japan!,18M,1 year,I ground my own matcha in Japan! This was one of my favourite experiences from the trip and being a heavy matcha drinker ...,2026-01-15 23:22:04.708303
traditional matcha,/shorts/MzIen6fSQwA,/@jasmineandtea,jasmineandtea,making a matcha latte at home 🍵,9.4M,3 years,matcha latte at home ~ Making myself a cup of matcha is one of the things I look forward to most in the morning. It's almost ...,2026-01-15 23:22:04.711811
traditional matcha,/shorts/B4ccemTLTbQ,/@TpercentMatcha,Jack - Matcha Sensei (T%),How to make matcha in the traditional Japanese way?,6.7K,8 months,This is the How-to series. How to Make Matcha in the Traditional Japanese Way? Discover the art of making matcha just like ...,2026-01-15 23:22:04.714379
